"","X","Year.Tag","Moved","First.Line","Second.Line","Year","Year.Line","Tags","Sex","Closest.Dist","Adj.Year.Avg.Abund","Adj.Line.Abund","Adj.Avg.Abund.z","Adj.Diff","Adj.Line.Abund.z","PI","Adj.Diff.z","Year.Numeric"
"106",1440,"2011-3943.3945","0","501",NA,"2011","2011-501","3943.3945","M",0.26938,3.840399003,2.884615385,-1.584859048,-0.955783618,-1.539716776,"3",-0.750336202348136,2011
"107",1441,"2011-3978.3979","0","113",NA,"2011","2011-113","3978.3979","M",0.85448,3.840399003,10.41666667,-1.584859048,6.576267664,-0.740872366,"3",0.280858856899051,2011
"108",1442,"2012-2052.2051","0","113",NA,"2012","2012-113","2052.2051","F",0.85448,12.80150754,27.6,-0.06690277,14.79849246,1.081580677,"3",1.40654391508728,2012
"109",1443,"2012-3070.3099","0","111",NA,"2012","2012-111","3070.3099","F",0.84576,12.80150754,21.92307692,-0.06690277,9.121569386,0.479489945,"3",0.629330005295535,2012
"110",1444,"2012-3395.3396","0","503",NA,"2012","2012-503","3395.3396","M",0.26938,12.80150754,8.75,-0.06690277,-4.051507538,-0.917637938,"3",-1.17416433250522,2012
"111",1445,"2012-3526.3527","0","503",NA,"2012","2012-503","3526.3527","F",0.26938,12.80150754,8.75,-0.06690277,-4.051507538,-0.917637938,"3",-1.17416433250522,2012
"112",1446,"2012-3610.3611","0","111",NA,"2012","2012-111","3610.3611","F",0.84576,12.80150754,21.92307692,-0.06690277,9.121569386,0.479489945,"3",0.629330005295535,2012
"113",1447,"2012-C009.C008","0","202",NA,"2012","2012-202","C009.C008","M",0.19949,12.80150754,15.71428571,-0.06690277,2.912778177,-0.179010371,"3",-0.220700694033175,2012
"114",1448,"2012-C954.C953","0","801",NA,"2012","2012-801","C954.C953","M",0.5879,12.80150754,15,-0.06690277,2.198492462,-0.254767044,"3",-0.318491836528325,2012
"115",1449,"2012-C965.C964","0","303",NA,"2012","2012-303","C965.C964","F",0.26028,12.80150754,6.666666667,-0.06690277,-6.134840871,-1.138594902,"3",-1.45938849778522,2012
"116",1450,"2012-C975.C076","0","201",NA,"2012","2012-201","C975.C076","F",0.30549,12.80150754,21.94444444,-0.06690277,9.142936907,0.481756171,"3",0.632255381299841,2012
"117",1451,"2012-D073.D075","0","503",NA,"2012","2012-503","D073.D075","M",0.26938,12.80150754,8.75,-0.06690277,-4.051507538,-0.917637938,"3",-1.17416433250522,2012
"118",1452,"2012-D124.D123","0","701",NA,"2012","2012-701","D124.D123","F",0.1143,12.80150754,11.875,-0.06690277,-0.926507538,-0.586202491,"3",-0.746328084516773,2012
"119",1453,"2012-D151.E671","0","112",NA,"2012","2012-112","D151.E671","M",0.84576,12.80150754,25.57692308,-0.06690277,12.77541554,0.867014469,"3",1.12956931065694,2012
"120",1454,"2012-D152.D227","0","111",NA,"2012","2012-111","D152.D227","M",0.84576,12.80150754,21.92307692,-0.06690277,9.121569386,0.479489945,"3",0.629330005295535,2012
"121",1455,"2012-D180.D179","0","501",NA,"2012","2012-501","D180.D179","M",0.26938,12.80150754,9.583333333,-0.06690277,-3.218174204,-0.829255152,"3",-1.0600746662837,2012
"122",1456,"2012-D205.D206","0","111",NA,"2012","2012-111","D205.D206","M",0.84576,12.80150754,21.92307692,-0.06690277,9.121569386,0.479489945,"3",0.629330005295535,2012
"123",1457,"2012-D207.D208","0","111",NA,"2012","2012-111","D207.D208","M",0.84576,12.80150754,21.92307692,-0.06690277,9.121569386,0.479489945,"3",0.629330005295535,2012
"124",1458,"2012-D217.D218","0","113",NA,"2012","2012-113","D217.D218","F",0.85448,12.80150754,27.6,-0.06690277,14.79849246,1.081580677,"3",1.40654391508728,2012
"125",1459,"2012-D219.D220","0","112",NA,"2012","2012-112","D219.D220","M",0.84576,12.80150754,25.57692308,-0.06690277,12.77541554,0.867014469,"3",1.12956931065694,2012
