"","timesincefire","avg.org","cubeorg","Moisture","ecoregion3","cubePima","burn.name","site"
"413",166,49.8,3.67911289265974,"Subhydric","plains",3.150025081181,"unburned","KAK-UB-1"
"414",1,12.25,2.30521814602922,"Subhydric","shield",1.31948740963596,"Discovery Mine","LL-1"
"415",2,78.9,4.28902918137959,"Subhydric","plains",1.78664694473725,"Sambaa Deh","SD2013-1"
"416",1,7.65,1.9703973362613,"Mesic","plains",2.98746957083436,"Kakisa","SS33-11"
"417",1,1.55,1.15729452726294,"Xeric","plains",0,"Kakisa","SS33-1"
"418",1,8.2,2.0165296752181,"Mesic","plains",2.5484666367758,"Kakisa","SS33-1"
"419",1,39.3,3.39988465583327,"Subhydric","plains",0,"Kakisa","SS33-21"
"420",1,36,3.30192724889463,"Subhydric","plains",0,"Kakisa","SS33-25"
"421",1,58.4,3.87975482916067,"Subhydric","plains",0,"Kakisa","SS33-26"
"422",1,17.8,2.61099877121762,"Mesic","plains",3.08946010333853,"Kakisa","SS33-27"
"423",1,34.35,3.25069018872289,"Subhydric","plains",2.4812318541988,"Kakisa","SS33-27"
"424",1,13.55,2.38403758780428,"Mesic","plains",2.81082230760181,"Kakisa","SS33-3"
"425",1,4.05,1.59398785377392,"Mesic","plains",2.84914943818905,"Kakisa","SS33-3"
"426",1,19.4,2.68699738211917,"Subhydric","plains",2.72384957369775,"Kakisa","SS33-4"
"427",1,7.1,1.92199734277467,"Mesic","plains",3.25213200291295,"Kakisa","SS33-4"
"428",1,3.17,1.46899309391131,"Xeric","plains",1.12815443694286,"Kakisa","SS33-582"
"429",1,10.07,2.15945002001236,"Mesic","plains",1.80822842583567,"Kakisa","SS33-582"
"430",1,13.2,2.363331500935,"Mesic","plains",2.57329004014896,"Kakisa","SS33-6"
"431",1,21.15,2.76547746507813,"Mesic","plains",2.52935113107265,"Kakisa","SS33-877"
"432",1,31.2,3.14812183326289,"Subhydric","plains",1.92051969212957,"Kakisa","SS33-9"
"433",1,6.1,1.82716013686352,"Xeric","plains",2.84402312059568,"Kakisa","SS33-9"
"434",1,11.1,2.23069910447562,"Mesic","plains",3.28285259505038,"Kakisa","SS33-9"
"435",155,8.95,2.07622466052736,"Xeric","shield",2.09374979373934,"unburned","WEK-UB-1"
"436",275,12.45,2.31769588920081,"Mesic","shield",2.53156576670597,"unburned","WEK-UB-1"
"437",1,0.75,0.90856029641607,"Xeric","shield",0.662364734220974,"Discovery Mine","ZF104-107"
"438",1,0.45,0.766309432393553,"Xeric","shield",0.84565561248085,"Discovery Mine","ZF104-12"
"439",1,2.35,1.32950289523459,"Xeric","shield",0.554149987410131,"Discovery Mine","ZF104-22"
"440",1,1.3,1.09139288306111,"Xeric","shield",1.44669732981885,"Discovery Mine","ZF104-26"
"441",1,1.1,1.03228011545637,"Xeric","shield",1.82647284139332,"Discovery Mine","ZF104-4"
"442",1,0.25,0.629960524947437,"Xeric","shield",0,"Discovery Mine","ZF104-62"
"443",1,3.25,1.48124803420369,"Xeric","shield",0.930058777261725,"Discovery Mine","ZF104-83"
"444",1,7.95,1.99582462251079,"Mesic","plains",1.855389171453,"Central","ZF20-10"
"445",1,0.95,0.983047572491558,"Xeric","plains",1.53636251751565,"Central","ZF20-10"
"446",1,17.3,2.58631866694467,"Subhydric","plains",1.9311080878536,"Central","ZF20-10"
"447",1,8.2,2.0165296752181,"Mesic","plains",2.01958973115762,"Central","ZF20-11"
"448",1,2.45,1.34809974988793,"Xeric","plains",1.40294093390751,"Central","ZF20-11"
"449",1,20.2,2.72343568156888,"Mesic","plains",2.54921886416259,"Central","ZF20-11"
"450",1,15.2,2.47712465926034,"Subhydric","plains",3.30935935459782,"Central","ZF20-125"
"451",1,6.76,1.89081438919656,"Mesic","plains",1.23451210327789,"Central","ZF20-125"
"452",1,6.75,1.88988157484231,"Xeric","plains",0,"Central","ZF20-12"
"453",1,26.1,2.96628928134495,"Mesic","plains",2.32608882719606,"Central","ZF20-12"
"454",1,1.4,1.1186889420814,"Xeric","plains",1.62882542942251,"Central","ZF20-34"
"455",1,13.05,2.35434536282448,"Mesic","plains",2.53172234786208,"Central","ZF20-34"
"456",1,11.2,2.23737788416279,"Mesic","plains",1.6307965993507,"Central","ZF20-34"
"457",1,18.6,2.64954305637382,"Subhydric","plains",2.55542123740031,"Central","ZF20-35"
"458",1,4.1,1.60052066388316,"Mesic","plains",0,"Central","ZF20-35"
"459",1,1.75,1.20507113208762,"Xeric","plains",2.14024661429888,"Central","ZF20-40"
"460",1,29.5,3.08987330293282,"Subhydric","plains",2.02936286442876,"Central","ZF20-40"
"461",1,2.4,1.33886590016434,"Xeric","plains",1.71110651739817,"Central","ZF20-40"
"462",1,25.6,2.94722519891231,"Subhydric","plains",2.43018785995356,"Central","ZF20-43"
"463",1,5.25,1.73801332244322,"Mesic","plains",2.51250229601368,"Central","ZF20-4"
"464",1,4.35,1.63241190102949,"Xeric","plains",1.96741804824879,"Central","ZF20-4"
"465",1,10.4,2.18278576612221,"Mesic","plains",2.61629402519763,"Central","ZF20-52"
"466",1,2.35,1.32950289523459,"Xeric","plains",2.4214755475503,"Central","ZF20-52"
"467",1,11.1,2.23069910447562,"Mesic","plains",2.42870192656812,"Central","ZF20-52"
"468",1,20.9,2.75453796202665,"Subhydric","plains",1.69399159575652,"Central","ZF20-597"
"469",1,5,1.7099759466767,"Xeric","plains",2.44599891602419,"Central","ZF20-597"
"470",1,5.75,1.79152393550797,"Mesic","plains",2.26044952749112,"Central","ZF20-59"
"471",1,1,1,"Xeric","plains",0,"Central","ZF20-64"
"472",1,12.2,2.30207751796315,"Subhydric","plains",1.94583176906835,"Central","ZF20-64"
"473",1,8.9,2.07235109805926,"Xeric","plains",2.32777303905349,"Central","ZF20-6"
"474",1,4.2,1.61342864602454,"Mesic","plains",2.33552599912547,"Central","ZF20-6"
"475",1,16.1,2.52508087183385,"Subhydric","plains",1.89938458147879,"Central","ZF20-6"
"476",1,24.7,2.91227456856365,"Subhydric","plains",0,"Central","ZF20-8"
"477",1,21.3,2.77199984174875,"Mesic","plains",2.60800648408346,"Central","ZF20-8"
"478",1,11.85,2.27984917438729,"Mesic","plains",2.001280925856,"Central","ZF20-9"
"479",1,28.7,3.06168588661365,"Mesic","plains",2.57020254072513,"Central","ZF20-9"
"480",1,23.8,2.87646428244683,"Subhydric","plains",1.91085344059197,"Central","ZF20-9"
"481",1,31.15,3.14643924511059,"Subhydric","shield",1.56360478304859,"Wekweeti","ZF26-104"
"482",1,7.1,1.92199734277467,"Mesic","shield",1.65344967025833,"Wekweeti","ZF26-104"
"483",1,30.3,3.11755561336983,"Subhydric","shield",1.12419802016434,"Wekweeti","ZF26-118"
"484",1,5.2,1.73247821068181,"Mesic","shield",1.03747950071269,"Wekweeti","ZF26-118"
"485",1,6.25,1.84201574932019,"Xeric","shield",2.59714554237757,"Wekweeti","ZF26-50"
"486",1,34,3.23961180127748,"Subhydric","shield",1.68756582233969,"Wekweeti","ZF26-50"
"487",1,16.6,2.55095440373441,"Subhydric","shield",2.14203592001135,"Wekweeti","ZF26-54"
"488",1,4.85,1.69270228137218,"Xeric","shield",1.64113271489873,"Wekweeti","ZF26-54"
"489",1,4.1,1.60052066388316,"Xeric","shield",1.4593658239053,"Wekweeti","ZF26-5"
"490",1,10.05,2.15801944654298,"Mesic","shield",1.96006339957006,"Wekweeti","ZF26-5"
"491",1,33.4,3.22044205188375,"Subhydric","shield",1.56821353875088,"Wekweeti","ZF26-5"
"492",1,3.75,1.55361625297693,"Xeric","shield",1.46741392245671,"Wekweeti","ZF26-66"
"493",1,26.85,2.99443412450723,"Subhydric","shield",1.77095407637671,"Wekweeti","ZF26-66"
