litter_id,sex,weight,tagwt,year,n1_date,tag_date,grid,food,mother_byear,mother_age,litter_size,growth,bdate,survived_200d,aliveinfall,owner,density,cones
38,M,24.1,54.5,2013,2013-04-16,2013-05-04,JO,0,2010,3,2,1.688888889,99,FALSE,0,0,3.048626858,1.853722378
38,F,21.5,50,2013,2013-04-16,2013-05-04,JO,0,2010,3,2,1.583333333,99,TRUE,1,1,3.048626858,1.853722378
39,M,12.9,61.7,2013,2013-04-16,2013-05-09,JO,0,2007,6,1,2.12173913,105,FALSE,1,0,3.048626858,1.853722378
40,M,9.8,48.3,2013,2013-04-17,2013-05-12,JO,0,2010,3,4,1.54,106,FALSE,0,0,3.048626858,1.853722378
40,F,8.4,43,2013,2013-04-17,2013-05-12,JO,0,2010,3,4,1.384,106,TRUE,1,1,3.048626858,1.853722378
40,M,8.9,47.2,2013,2013-04-17,2013-05-12,JO,0,2010,3,4,1.532,106,FALSE,0,0,3.048626858,1.853722378
40,M,8.1,45.1,2013,2013-04-17,2013-05-12,JO,0,2010,3,4,1.48,106,FALSE,0,0,3.048626858,1.853722378
41,F,14.1,57.4,2013,2013-04-17,2013-05-09,JO,0,2010,3,1,1.968181818,105,FALSE,0,0,3.048626858,1.853722378
42,F,10.7,56.2,2013,2013-04-19,2013-05-13,AG,1,2011,2,2,NA,108,TRUE,1,1,2.91005291,1.459180287
42,F,9.7,59.5,2013,2013-04-19,2013-05-13,AG,1,2011,2,2,NA,108,TRUE,1,1,2.91005291,1.459180287
43,F,13.2,44.9,2013,2013-04-19,2013-05-12,SU,0,2010,3,2,1.37826087,106,FALSE,0,0,1.612496851,2.060105158
43,M,11.6,44.6,2013,2013-04-19,2013-05-12,SU,0,2010,3,2,1.434782609,106,TRUE,1,1,1.612496851,2.060105158
44,M,12.5,NA,2013,2013-04-19,2013-05-12,AG,1,2012,1,2,NA,107,FALSE,0,0,2.91005291,1.459180287
44,F,13.3,40.8,2013,2013-04-19,2013-05-12,AG,1,2012,1,2,NA,107,FALSE,1,0,2.91005291,1.459180287
45,M,9.8,NA,2013,2013-04-19,NA,SU,0,2011,2,3,NA,108,FALSE,0,0,1.612496851,2.060105158
45,M,9.5,NA,2013,2013-04-19,NA,SU,0,2011,2,3,NA,108,FALSE,0,0,1.612496851,2.060105158
45,F,9.3,NA,2013,2013-04-19,NA,SU,0,2011,2,3,NA,108,FALSE,0,0,1.612496851,2.060105158
46,M,11.8,64,2013,2013-04-19,2013-05-14,JO,0,2010,3,3,2.088,108,FALSE,1,0,3.048626858,1.853722378
46,M,10.6,58.5,2013,2013-04-19,2013-05-14,JO,0,2010,3,3,1.916,108,FALSE,0,0,3.048626858,1.853722378
46,M,11.5,63.2,2013,2013-04-19,2013-05-14,JO,0,2010,3,3,2.068,108,FALSE,0,0,3.048626858,1.853722378
47,F,34,57.2,2013,2013-04-19,2013-04-28,AG,1,2010,3,3,NA,91,FALSE,0,0,2.91005291,1.459180287
47,F,38.3,62.1,2013,2013-04-19,2013-04-28,AG,1,2010,3,3,NA,91,FALSE,0,0,2.91005291,1.459180287
47,F,38.1,63,2013,2013-04-19,2013-04-28,AG,1,2010,3,3,NA,91,TRUE,1,1,2.91005291,1.459180287
48,M,11.5,55.8,2013,2013-04-20,2013-05-14,JO,0,2011,2,3,1.845833333,109,TRUE,1,1,3.048626858,1.853722378
48,F,10.6,58.8,2013,2013-04-20,2013-05-14,JO,0,2011,2,3,2.008333333,109,FALSE,0,0,3.048626858,1.853722378
48,M,11.7,47.3,2013,2013-04-20,2013-05-14,JO,0,2011,2,3,1.483333333,109,FALSE,0,0,3.048626858,1.853722378
49,F,9.7,53,2013,2013-04-20,2013-05-14,JO,0,2010,3,3,1.804166667,109,FALSE,0,0,3.048626858,1.853722378
49,M,10.3,55,2013,2013-04-20,2013-05-14,JO,0,2010,3,3,1.8625,109,FALSE,0,0,3.048626858,1.853722378
49,F,10.1,53,2013,2013-04-20,2013-05-14,JO,0,2010,3,3,1.7875,109,FALSE,0,0,3.048626858,1.853722378
50,F,9,NA,2013,2013-04-20,NA,KL,0,2010,3,4,NA,110,FALSE,0,0,1.83925422,2.586066507
50,F,8.8,NA,2013,2013-04-20,NA,KL,0,2010,3,4,NA,110,FALSE,0,0,1.83925422,2.586066507
50,M,9.9,NA,2013,2013-04-20,NA,KL,0,2010,3,4,NA,110,FALSE,0,0,1.83925422,2.586066507
50,M,9.1,NA,2013,2013-04-20,NA,KL,0,2010,3,4,NA,110,FALSE,0,0,1.83925422,2.586066507
51,F,10.5,40.1,2013,2013-04-20,2013-05-14,JO,0,2009,4,4,1.233333333,109,FALSE,0,0,3.048626858,1.853722378
51,M,11.7,46.1,2013,2013-04-20,2013-05-14,JO,0,2009,4,4,1.433333333,109,FALSE,0,0,3.048626858,1.853722378
51,M,12,45.6,2013,2013-04-20,2013-05-14,JO,0,2009,4,4,1.4,109,FALSE,0,0,3.048626858,1.853722378
51,F,10.7,39,2013,2013-04-20,2013-05-14,JO,0,2009,4,4,1.179166667,109,FALSE,0,0,3.048626858,1.853722378
52,F,12.3,55.9,2013,2013-04-20,NA,JO,0,2010,3,3,NA,109,FALSE,0,0,3.048626858,1.853722378
52,M,10.9,54.7,2013,2013-04-20,NA,JO,0,2010,3,3,NA,109,FALSE,0,0,3.048626858,1.853722378
52,M,11.5,53.7,2013,2013-04-20,NA,JO,0,2010,3,3,NA,109,FALSE,0,0,3.048626858,1.853722378
53,F,12.4,61.7,2013,2013-04-21,2013-05-14,KL,0,2010,3,3,2.143478261,110,FALSE,0,0,1.83925422,2.586066507
53,M,13.7,NA,2013,2013-04-21,2013-05-14,KL,0,2010,3,3,NA,110,FALSE,0,0,1.83925422,2.586066507
53,F,12.4,62.2,2013,2013-04-21,2013-05-14,KL,0,2010,3,3,2.165217391,110,FALSE,0,0,1.83925422,2.586066507
54,F,13,NA,2013,2013-04-21,NA,AG,1,2008,5,2,NA,108,FALSE,0,0,2.91005291,1.459180287
54,M,15,NA,2013,2013-04-21,NA,AG,1,2008,5,2,NA,108,FALSE,0,0,2.91005291,1.459180287
55,M,14.3,54.5,2013,2013-04-21,2013-05-13,AG,1,2012,1,3,NA,109,TRUE,1,1,2.91005291,1.459180287
55,M,13.6,51.2,2013,2013-04-21,2013-05-13,AG,1,2012,1,3,NA,109,TRUE,1,1,2.91005291,1.459180287
55,M,11.3,49.3,2013,2013-04-21,2013-05-13,AG,1,2012,1,3,NA,109,FALSE,0,0,2.91005291,1.459180287
56,F,12.5,46,2013,2013-04-21,2013-05-15,JO,0,2009,4,4,1.395833333,109,TRUE,1,1,3.048626858,1.853722378
56,M,11.7,55,2013,2013-04-21,2013-05-15,JO,0,2009,4,4,1.804166667,109,FALSE,0,0,3.048626858,1.853722378
56,F,11.2,NA,2013,2013-04-21,2013-05-15,JO,0,2009,4,4,NA,109,FALSE,0,0,3.048626858,1.853722378
56,M,14.4,49,2013,2013-04-21,2013-05-15,JO,0,2009,4,4,1.441666667,109,FALSE,0,0,3.048626858,1.853722378
57,F,16.6,62.5,2013,2013-04-22,2013-05-20,AG,1,2010,3,4,NA,107,FALSE,0,0,2.91005291,1.459180287
57,M,16.4,72.1,2013,2013-04-22,2013-05-20,AG,1,2010,3,4,NA,107,FALSE,0,0,2.91005291,1.459180287
57,M,14.4,57,2013,2013-04-22,2013-05-20,AG,1,2010,3,4,NA,107,FALSE,0,0,2.91005291,1.459180287
57,M,18,NA,2013,2013-04-22,2013-05-20,AG,1,2010,3,4,NA,107,FALSE,0,0,2.91005291,1.459180287
58,M,10.4,48.5,2013,2013-04-22,2013-05-18,AG,1,2010,3,4,NA,112,FALSE,0,0,2.91005291,1.459180287
58,M,9.4,43.7,2013,2013-04-22,2013-05-18,AG,1,2010,3,4,NA,112,FALSE,0,0,2.91005291,1.459180287
58,F,9.3,40,2013,2013-04-22,2013-05-18,AG,1,2010,3,4,NA,112,FALSE,0,0,2.91005291,1.459180287
58,M,10.6,48.8,2013,2013-04-22,2013-05-18,AG,1,2010,3,4,NA,112,FALSE,0,0,2.91005291,1.459180287
59,F,12.5,58.5,2013,2013-04-22,2013-05-15,SU,0,2010,3,3,2,111,FALSE,0,0,1.612496851,2.060105158
59,F,12.4,59.2,2013,2013-04-22,2013-05-15,SU,0,2010,3,3,2.034782609,111,FALSE,0,0,1.612496851,2.060105158
59,F,11.4,55.4,2013,2013-04-22,2013-05-15,SU,0,2010,3,3,1.913043478,111,FALSE,1,0,1.612496851,2.060105158
60,M,11.1,50.4,2013,2013-04-23,NA,JO,0,2010,3,4,NA,81,FALSE,0,0,3.048626858,1.853722378
60,M,10.4,49.7,2013,2013-04-23,NA,JO,0,2010,3,4,NA,81,FALSE,0,0,3.048626858,1.853722378
60,M,10.1,48.6,2013,2013-04-23,NA,JO,0,2010,3,4,NA,81,FALSE,0,0,3.048626858,1.853722378
60,M,10.1,49.3,2013,2013-04-23,NA,JO,0,2010,3,4,NA,81,FALSE,1,0,3.048626858,1.853722378
61,M,10.6,57.4,2013,2013-04-23,2013-05-18,JO,0,2011,2,2,1.872,112,TRUE,1,1,3.048626858,1.853722378
61,F,8.9,59,2013,2013-04-23,2013-05-18,JO,0,2011,2,2,2.004,112,TRUE,1,1,3.048626858,1.853722378
62,F,12.7,59.3,2013,2013-04-23,2013-05-18,AG,1,2010,3,3,NA,111,FALSE,0,0,2.91005291,1.459180287
62,F,12.4,52.4,2013,2013-04-23,2013-05-18,AG,1,2010,3,3,NA,111,FALSE,0,0,2.91005291,1.459180287
62,F,11.7,53.1,2013,2013-04-23,2013-05-18,AG,1,2010,3,3,NA,111,FALSE,0,0,2.91005291,1.459180287
63,F,10.5,NA,2013,2013-04-21,NA,AG,1,2007,6,3,NA,110,FALSE,0,0,2.91005291,1.459180287
63,M,10,NA,2013,2013-04-21,NA,AG,1,2007,6,3,NA,110,FALSE,0,0,2.91005291,1.459180287
63,F,11.1,NA,2013,2013-04-21,NA,AG,1,2007,6,3,NA,110,FALSE,0,0,2.91005291,1.459180287
64,F,12.3,51.2,2013,2013-04-23,2013-05-16,SU,0,2010,3,3,1.691304348,111,FALSE,1,0,1.612496851,2.060105158
64,M,12.3,52.1,2013,2013-04-23,2013-05-16,SU,0,2010,3,3,1.730434783,111,FALSE,0,0,1.612496851,2.060105158
